validto (UTC),capacity (kW) aardgas,percentage aardgas,capacity (kW) afval,percentage afval,capacity (kW) biomassa,percentage biomassa,capacity (kW) electriciteitsmix,percentage electriciteitsmix,capacity (kW) kernenergie,percentage kernenergie,capacity (kW) overig,percentage overig,capacity (kW) steenkool,percentage steenkool,capacity (kW) wind,percentage wind,capacity (kW) wkk,percentage wkk,capacity (kW) zeewind,percentage zeewind,capacity (kW) zon,percentage zon
2024-10-12 02:00:00,1086000,0,255250,0.32724350690842,280528,0.28052726387978,6254022,0.1712159961462,479000,0.98762899637222,221000,1,917222,1.8344449996948,450336,0.069577351212502,1309936,0,1254750,0.30176773667336,0,0.0
2024-10-12 03:00:00,1053250,0,255500,0.32756400108337,260502,0.26050224900246,6207412,0.16993799805641,479000,0.98762899637222,221000,1,851748,1.7034925222397,397963,0.061485301703215,1371199,0,1317250,0.31679901480675,0,0.0
2024-10-12 04:00:00,959500,0,255000,0.32692301273346,233451,0.23345075547695,6139790,0.16808475553989,479000,0.98762899637222,221000,1,763299,1.5266000032425,404490,0.062493275851011,1399050,0,1425000,0.34271275997162,0,0.0
2024-10-12 05:00:00,1257750,0,254500,0.32628199458122,244694,0.24469299614429,6397623,0.17514124512672,479000,0.98762899637222,221000,1,800056,1.6001125574112,419512,0.064813777804375,1544361,0,1176750,0.28300875425339,0,0.0
2024-10-12 06:00:00,1564000,0,260500,0.33397400379181,295458,0.29545849561691,7131854,0.19523949921131,479000,0.98762899637222,221000,1,966042,1.9320825338364,485651,0.075031653046608,1749452,0,1110751,0.26713573932648,0,0.0
2024-10-12 07:00:00,1799000,0,259500,0.33269199728966,333342,0.33334225416183,7983327,0.21854674816132,479000,0.98762899637222,221000,1,1089908,2.1798150539398,504743,0.077980823814869,1956344,0,1136249,0.27326825261116,204241,0.0089138885959983
2024-10-12 08:00:00,2256750,0,262376,0.33637800812721,314957,0.31495624780655,9894852,0.27087223529816,479000,0.98762899637222,221000,1,1029793,2.0595874786377,472993,0.073075100779533,1956584,0,1121000,0.26960074901581,1780399,0.07770287245512
2024-10-12 09:00:00,2334500,0,263000,0.33717900514603,245454,0.2454542517662,12083886,0.33079349994659,479000,0.98762899637222,221000,1,802546,1.6050925254822,654934,0.101183347404,1870308,0,1047250,0.25186398625374,4165894,0.18181149661541
2024-10-12 10:00:00,1749250,0,263000,0.33717900514603,167461,0.16746175289154,13683663,0.37458273768425,479250,0.98814451694489,221000,1,547539,1.0950775146484,1199931,0.18538075685501,1704545,0,1314001,0.31601750850677,6037686,0.26349726319313
2024-10-12 11:00:00,1703250,0,259626,0.33285251259804,148549,0.14854875206947,14452821,0.39563325047493,479000,0.98762899637222,221000,1,485701,0.97140198945999,1790617,0.27663624286652,1598372,0,1419999,0.34151023626328,6346707,0.27697923779488
2024-10-12 12:00:00,1823250,0,253626,0.32516023516655,146324,0.14632399380207,14764458,0.40415975451469,479000,0.98762899637222,221000,1,478426,0.95685225725174,1913086,0.29555526375771,1627738,0,1443000,0.34704175591469,6379008,0.27838423848152
2024-10-12 13:00:00,1864000,0,255626,0.32772448658943,148724,0.14872449636459,14338451,0.3924939930439,479000,0.98762899637222,221000,1,486276,0.97255200147629,2000512,0.30905950069427,1556288,0,1501500,0.36111125349998,5825525,0.25422576069832
2024-10-12 14:00:00,1977000,0,261876,0.33573698997498,170155,0.17015500366688,13768634,0.3768917620182,479000,0.98762899637222,221000,1,556345,1.1126924753189,1908003,0.29476600885391,1535510,0,1758498,0.42291900515556,4901247,0.21388724446297
2024-10-12 15:00:00,1885750,0,264250,0.33878248929977,179758,0.17975774407387,13683944,0.37456923723221,479000,0.98762899637222,221000,1,587742,1.1754850149155,2123745,0.32809349894524,1626767,0,2171751,0.52230650186539,4144181,0.1808464974165
2024-10-12 16:00:00,2096750,0,265626,0.3405447602272,184149,0.18414925038815,12573769,0.34417673945427,479000,0.98762899637222,221000,1,602101,1.2042025327682,2162557,0.33408749103546,1837183,0,2764250,0.66480249166489,1961153,0.085580699145794
2024-10-12 17:00:00,1869250,0,270750,0.34711548686028,187838,0.1878382563591,11515450,0.31520426273346,479000,0.98762899637222,221000,1,614162,1.228325009346,2127993,0.32874575257301,1758409,0,3537251,0.8507097363472,449797,0.019627934321761
2024-10-12 18:00:00,1200500,0,273500,0.35064101219177,192464,0.19246350228786,10847514,0.29691824316978,479000,0.98762899637222,221000,1,629286,1.2585724592209,2571835,0.39731076359749,1593428,0,3686501,0.88660448789597,0,0.0
2024-10-12 19:00:00,924250,0,276376,0.35432699322701,176127,0.17612774670124,11355831,0.31082800030708,479250,0.98814451694489,221000,1,575873,1.1517449617386,3167658,0.48935350775719,1470298,0,4064999,0.97763299942017,0,0.0
2024-10-12 20:00:00,936250,0,277376,0.35560899972916,166525,0.16652475297451,11770378,0.322171241045,479500,0.9886599779129,221000,1,544475,1.0889475345612,4004964,0.6187002658844,1354537,0,3785751,0.9104740023613,0,0.0
2024-10-12 21:00:00,1052750,0,277250,0.3554485142231,164886,0.1648855060339,12801297,0.35038501024246,480000,0.98969101905823,221000,1,539114,1.0782300233841,4787853,0.73963898420334,1363195,0,3915249,0.94161802530289,0,0.0
2024-10-12 22:00:00,892500,0,271500,0.34807699918747,165178,0.16517774760723,12593765,0.34470075368881,480000,0.98969101905823,221000,1,540072,1.0801424980164,4867508,0.75193923711777,1256507,0,3899500,0.93783074617386,0,0.0
2024-10-12 23:00:00,839500,0,265500,0.34038498997688,168397,0.16839824616909,11937892,0.32674551010132,480000,0.98969101905823,221000,1,550603,1.1012049913406,4530973,0.69994652271271,1205669,0,3676250,0.88413923978806,0,0.0
2024-10-13 00:00:00,841500,0,269876,0.34599348902702,165821,0.16582225263119,11098230,0.30375975370407,480000,0.98969101905823,221000,1,542179,1.0843549966812,3986265,0.61579602956772,1186339,0,3405250,0.81896352767944,0,0.0
